Dataset ID;Dataset Name;Number of Rows;Number of Columns;Unique Values;Count of Zeros;Missing Values;Statistics;Tags;Category;Has Geodata;Has DateTime;Findability Weight;AccessURL Status Code;Accessibility Weight;Responsible Person;Agency;Reusability Weight
1;ОКС;100;10;{'id': 100, 'kod': 100, 'name': 100, 'description': 45, 'doc_act': 2, 'doc_deact': 1, 'date_act': 2, 'date_deact': 1, 'status': 2, 'date': 2};{'id': 0, 'kod': 0, 'name': 0, 'description': 0, 'doc_act': 96, 'doc_deact': 0, 'date_act': 0, 'date_deact': 0, 'status': 0, 'date': 0};{'id': 0.0, 'kod': 0.0, 'name': 0.0, 'description': 0.54, 'doc_act': 0.0, 'doc_deact': 0.99, 'date_act': 0.0, 'date_deact': 0.99, 'status': 0.0, 'date': 0.0};{('id', 'count'): 100.0, ('id', 'mean'): 50.5, ('id', 'std'): 29.011491975882016, ('id', 'min'): 1.0, ('id', '50%'): 50.5, ('id', 'max'): 100.0, ('doc_act', 'count'): 100.0, ('doc_act', 'mean'): 0.08, ('doc_act', 'std'): 0.3938927711338648, ('doc_act', 'min'): 0.0, ('doc_act', '50%'): 0.0, ('doc_act', 'max'): 2.0, ('doc_deact', 'count'): 1.0, ('doc_deact', 'mean'): 5.0, ('doc_deact', 'std'): nan, ('doc_deact', 'min'): 5.0, ('doc_deact', '50%'): 5.0, ('doc_deact', 'max'): 5.0};Нет;Нормативно-справочная информация;ЛОЖЬ;ИСТИНА;50;200;50;[{'name': 'Жукова Наталья Сергеевна', 'phone': '88124176153', 'email': 'info@classif.spb.ru'}];"СПб ГУП ""СПб ИАЦ""";30
4;ОКОФ-2014;100;10;{'id': 100, 'kod': 100, 'name': 100, 'description': 0, 'doc_act': 1, 'doc_deact': 0, 'date_act': 1, 'date_deact': 0, 'status': 1, 'date': 1};{'id': 0, 'kod': 0, 'name': 0, 'description': 0, 'doc_act': 100, 'doc_deact': 0, 'date_act': 0, 'date_deact': 0, 'status': 0, 'date': 0};{'id': 0.0, 'kod': 0.0, 'name': 0.0, 'description': 1.0, 'doc_act': 0.0, 'doc_deact': 1.0, 'date_act': 0.0, 'date_deact': 1.0, 'status': 0.0, 'date': 0.0};{('id', 'count'): 100.0, ('id', 'mean'): 50.5, ('id', 'std'): 29.011491975882016, ('id', 'min'): 1.0, ('id', '50%'): 50.5, ('id', 'max'): 100.0, ('doc_act', 'count'): 100.0, ('doc_act', 'mean'): 0.0, ('doc_act', 'std'): 0.0, ('doc_act', 'min'): 0.0, ('doc_act', '50%'): 0.0, ('doc_act', 'max'): 0.0};Нет;Нормативно-справочная информация;ЛОЖЬ;ИСТИНА;50;200;50;[{'name': 'Жукова Наталья Сергеевна', 'phone': '88124176153', 'email': 'info@classif.spb.ru'}];"СПб ГУП ""СПб ИАЦ""";30
7;ОКИН-2014;100;12;{'id': 100, 'faset': 2, 'kod': 99, 'key': 100, 'name': 100, 'description': 0, 'date_act': 1, 'date_deact': 0, 'num_act': 1, 'num_deact': 0, 'date': 1, 'status': 1};{'id': 0, 'faset': 0, 'kod': 0, 'key': 0, 'name': 0, 'description': 0, 'date_act': 0, 'date_deact': 0, 'num_act': 100, 'num_deact': 0, 'date': 0, 'status': 0};{'id': 0.0, 'faset': 0.0, 'kod': 0.01, 'key': 0.0, 'name': 0.0, 'description': 1.0, 'date_act': 0.0, 'date_deact': 1.0, 'num_act': 0.0, 'num_deact': 1.0, 'date': 0.0, 'status': 0.0};{('id', 'count'): 100.0, ('id', 'mean'): 50.5, ('id', 'std'): 29.011491975882016, ('id', 'min'): 1.0, ('id', '50%'): 50.5, ('id', 'max'): 100.0, ('num_act', 'count'): 100.0, ('num_act', 'mean'): 0.0, ('num_act', 'std'): 0.0, ('num_act', 'min'): 0.0, ('num_act', '50%'): 0.0, ('num_act', 'max'): 0.0};Нет;Нормативно-справочная информация;ЛОЖЬ;ИСТИНА;50;200;50;[{'name': 'Жукова Наталья Сергеевна', 'phone': '88124176153', 'email': 'info@classif.spb.ru'}];"СПб ГУП ""СПб ИАЦ""";30
10;ОКСО-2016;100;13;{'id': 100, 'kod': 1, 'kod2': 99, 'key': 100, 'name1': 100, 'kod3': 1, 'kod4': 7, 'doc_act': 1, 'doc_deact': 0, 'date_act': 1, 'date_deact': 0, 'status': 1, 'date': 1};{'id': 0, 'kod': 0, 'kod2': 0, 'key': 0, 'name1': 0, 'kod3': 0, 'kod4': 0, 'doc_act': 100, 'doc_deact': 0, 'date_act': 0, 'date_deact': 0, 'status': 0, 'date': 0};{'id': 0.0, 'kod': 0.0, 'kod2': 0.01, 'key': 0.0, 'name1': 0.0, 'kod3': 0.1, 'kod4': 0.1, 'doc_act': 0.0, 'doc_deact': 1.0, 'date_act': 0.0, 'date_deact': 1.0, 'status': 0.0, 'date': 0.0};{('id', 'count'): 100.0, ('id', 'mean'): 6899.5, ('id', 'std'): 29.011491975882016, ('id', 'min'): 6850.0, ('id', '50%'): 6899.5, ('id', 'max'): 6949.0, ('doc_act', 'count'): 100.0, ('doc_act', 'mean'): 0.0, ('doc_act', 'std'): 0.0, ('doc_act', 'min'): 0.0, ('doc_act', '50%'): 0.0, ('doc_act', 'max'): 0.0};Нет;Нормативно-справочная информация;ЛОЖЬ;ИСТИНА;50;200;50;[{'name': 'Жукова Наталья Сергеевна', 'phone': '88124176153', 'email': 'info@classif.spb.ru'}];"СПб ГУП ""СПб ИАЦ""";30
13;ОКВГУМ;75;11;{'id': 75, 'faset': 3, 'kod': 58, 'name': 75, 'description': 0, 'doc_act': 1, 'date_act': 1, 'doc_deact': 0, 'date_deact': 0, 'status': 1, 'date': 1};{'id': 0, 'faset': 0, 'kod': 0, 'name': 0, 'description': 0, 'doc_act': 75, 'date_act': 0, 'doc_deact': 0, 'date_deact': 0, 'status': 0, 'date': 0};{'id': 0.0, 'faset': 0.0, 'kod': 0.0, 'name': 0.0, 'description': 1.0, 'doc_act': 0.0, 'date_act': 0.0, 'doc_deact': 1.0, 'date_deact': 1.0, 'status': 0.0, 'date': 0.0};{('id', 'count'): 75.0, ('id', 'mean'): 38.0, ('id', 'std'): 21.79449471770337, ('id', 'min'): 1.0, ('id', '50%'): 38.0, ('id', 'max'): 75.0, ('doc_act', 'count'): 75.0, ('doc_act', 'mean'): 0.0, ('doc_act', 'std'): 0.0, ('doc_act', 'min'): 0.0, ('doc_act', '50%'): 0.0, ('doc_act', 'max'): 0.0};Нет;Нормативно-справочная информация;ЛОЖЬ;ИСТИНА;50;200;50;[{'name': 'Жукова Наталья Сергеевна', 'phone': '88124176153', 'email': 'info@classif.spb.ru'}];"СПб ГУП ""СПб ИАЦ""";30
16;ОКПиПВ;100;11;{'id': 100, 'razdel': 2, 'kod': 100, 'name': 100, 'description': 0, 'doc_act': 2, 'date_act': 2, 'doc_deact': 1, 'date_deact': 1, 'date': 2, 'status': 2};{'id': 0, 'razdel': 0, 'kod': 0, 'name': 0, 'description': 0, 'doc_act': 98, 'date_act': 0, 'doc_deact': 0, 'date_deact': 0, 'date': 0, 'status': 0};{'id': 0.0, 'razdel': 0.0, 'kod': 0.0, 'name': 0.0, 'description': 1.0, 'doc_act': 0.0, 'date_act': 0.0, 'doc_deact': 0.98, 'date_deact': 0.98, 'date': 0.0, 'status': 0.0};{('id', 'count'): 100.0, ('id', 'mean'): 50.5, ('id', 'std'): 29.011491975882016, ('id', 'min'): 1.0, ('id', '50%'): 50.5, ('id', 'max'): 100.0, ('razdel', 'count'): 100.0, ('razdel', 'mean'): 1.18, ('razdel', 'std'): 0.3861229196653691, ('razdel', 'min'): 1.0, ('razdel', '50%'): 1.0, ('razdel', 'max'): 2.0, ('doc_act', 'count'): 100.0, ('doc_act', 'mean'): 0.02, ('doc_act', 'std'): 0.14070529413628968, ('doc_act', 'min'): 0.0, ('doc_act', '50%'): 0.0, ('doc_act', 'max'): 1.0, ('doc_deact', 'count'): 2.0, ('doc_deact', 'mean'): 1.0, ('doc_deact', 'std'): 0.0, ('doc_deact', 'min'): 1.0, ('doc_deact', '50%'): 1.0, ('doc_deact', 'max'): 1.0};Нет;Нормативно-справочная информация;ЛОЖЬ;ИСТИНА;50;200;50;[{'name': 'Жукова Наталья Сергеевна', 'phone': '88124176153', 'email': 'info@classif.spb.ru'}];"СПб ГУП ""СПб ИАЦ""";30
19;ОКЭР;100;15;{'id': 100, 'num1': 10, 'num2': 3, 'kod': 92, 'num3': 10, 'name': 100, 'kod1': 85, 'name1': 87, 'description': 0, 'num4': 6, 'last_date': 1, 'status': 2, 'date_deact': 7, 'doc_deact': 6, 'date': 8};{'id': 0, 'num1': 0, 'num2': 84, 'kod': 0, 'num3': 8, 'name': 0, 'kod1': 0, 'name1': 0, 'description': 0, 'num4': 31, 'last_date': 0, 'status': 0, 'date_deact': 0, 'doc_deact': 0, 'date': 0};{'id': 0.0, 'num1': 0.0, 'num2': 0.0, 'kod': 0.0, 'num3': 0.08, 'name': 0.0, 'kod1': 0.09, 'name1': 0.09, 'description': 1.0, 'num4': 0.0, 'last_date': 0.0, 'status': 0.0, 'date_deact': 0.84, 'doc_deact': 0.84, 'date': 0.0};{('id', 'count'): 100.0, ('id', 'mean'): 50.5, ('id', 'std'): 29.011491975882016, ('id', 'min'): 1.0, ('id', '50%'): 50.5, ('id', 'max'): 100.0, ('num2', 'count'): 100.0, ('num2', 'mean'): 0.21, ('num2', 'std'): 0.5182526976156117, ('num2', 'min'): 0.0, ('num2', '50%'): 0.0, ('num2', 'max'): 2.0, ('num3', 'count'): 92.0, ('num3', 'mean'): 4.641304347826087, ('num3', 'std'): 2.9560202000050735, ('num3', 'min'): 0.0, ('num3', '50%'): 4.0, ('num3', 'max'): 9.0, ('num4', 'count'): 100.0, ('num4', 'mean'): 2.46, ('num4', 'std'): 1.9664868947111513, ('num4', 'min'): 0.0, ('num4', '50%'): 3.0, ('num4', 'max'): 5.0, ('doc_deact', 'count'): 16.0, ('doc_deact', 'mean'): 9.9375, ('doc_deact', 'std'): 1.94828984838841, ('doc_deact', 'min'): 6.0, ('doc_deact', '50%'): 10.0, ('doc_deact', 'max'): 14.0};Нет;Нормативно-справочная информация;ЛОЖЬ;ИСТИНА;50;200;50;[{'name': 'Жукова Наталья Сергеевна', 'phone': '88124176153', 'email': 'info@classif.spb.ru'}];"СПб ГУП ""СПб ИАЦ""";30
22;ОКАТО;100;14;{'id': 100, 'kod': 100, 'pod': 8, 'group': 9, 'razdel': 1, 'kod1': 5, 'name': 99, 'pr': 84, 'description': 0, 'date_act': 1, 'doc_act': 1, 'date_deact': 7, 'doc_deact': 7, 'status': 2};{'id': 0, 'kod': 0, 'pod': 0, 'group': 0, 'razdel': 0, 'kod1': 1, 'name': 0, 'pr': 0, 'description': 0, 'date_act': 0, 'doc_act': 100, 'date_deact': 0, 'doc_deact': 0, 'status': 0};{'id': 0.0, 'kod': 0.0, 'pod': 0.01, 'group': 0.09, 'razdel': 0.0, 'kod1': 0.0, 'name': 0.0, 'pr': 0.11, 'description': 1.0, 'date_act': 0.0, 'doc_act': 0.0, 'date_deact': 0.85, 'doc_deact': 0.85, 'status': 0.0};{('id', 'count'): 100.0, ('id', 'mean'): 50.5, ('id', 'std'): 29.011491975882016, ('id', 'min'): 1.0, ('id', '50%'): 50.5, ('id', 'max'): 100.0, ('pod', 'count'): 99.0, ('pod', 'mean'): 40.01010101010101, ('pod', 'std'): 30.908520372582476, ('pod', 'min'): 1.0, ('pod', '50%'): 39.0, ('pod', 'max'): 95.0, ('group', 'count'): 91.0, ('group', 'mean'): 40.857142857142854, ('group', 'std'): 31.029223296961497, ('group', 'min'): 2.0, ('group', '50%'): 40.0, ('group', 'max'): 96.0, ('razdel', 'count'): 100.0, ('razdel', 'mean'): 1.0, ('razdel', 'std'): 0.0, ('razdel', 'min'): 1.0, ('razdel', '50%'): 1.0, ('razdel', 'max'): 1.0, ('kod1', 'count'): 100.0, ('kod1', 'mean'): 10.77, ('kod1', 'std'): 1.6382732964738802, ('kod1', 'min'): 0.0, ('kod1', '50%'): 11.0, ('kod1', 'max'): 13.0, ('doc_act', 'count'): 100.0, ('doc_act', 'mean'): 0.0, ('doc_act', 'std'): 0.0, ('doc_act', 'min'): 0.0, ('doc_act', '50%'): 0.0, ('doc_act', 'max'): 0.0, ('doc_deact', 'count'): 15.0, ('doc_deact', 'mean'): 153.66666666666666, ('doc_deact', 'std'): 69.75945063130122, ('doc_deact', 'min'): 74.0, ('doc_deact', '50%'): 140.0, ('doc_deact', 'max'): 289.0};Нет;Нормативно-справочная информация;ЛОЖЬ;ИСТИНА;50;200;50;[{'name': 'Жукова Наталья Сергеевна', 'phone': '88124176153', 'email': 'info@classif.spb.ru'}];"СПб ГУП ""СПб ИАЦ""";30
25;ОКДП;100;13;{'id': 100, 'part': 1, 'razdel': 1, 'kod': 100, 'name': 0, 'name1': 0, 'doc_act': 1, 'name2': 100, 'date_deact': 0, 'doc_deact': 0, 'date': 1, 'status': 1, 'date_act': 1};{'id': 0, 'part': 0, 'razdel': 0, 'kod': 0, 'name': 0, 'name1': 0, 'doc_act': 100, 'name2': 0, 'date_deact': 0, 'doc_deact': 0, 'date': 0, 'status': 0, 'date_act': 0};{'id': 0.0, 'part': 0.0, 'razdel': 0.0, 'kod': 0.0, 'name': 1.0, 'name1': 1.0, 'doc_act': 0.0, 'name2': 0.0, 'date_deact': 1.0, 'doc_deact': 1.0, 'date': 0.0, 'status': 0.0, 'date_act': 0.0};{('id', 'count'): 100.0, ('id', 'mean'): 50.5, ('id', 'std'): 29.011491975882016, ('id', 'min'): 1.0, ('id', '50%'): 50.5, ('id', 'max'): 100.0, ('doc_act', 'count'): 100.0, ('doc_act', 'mean'): 0.0, ('doc_act', 'std'): 0.0, ('doc_act', 'min'): 0.0, ('doc_act', '50%'): 0.0, ('doc_act', 'max'): 0.0};Нет;Нормативно-справочная информация;ЛОЖЬ;ИСТИНА;50;200;50;[{'name': 'Жукова Наталья Сергеевна', 'phone': '88124176153', 'email': 'info@classif.spb.ru'}];"СПб ГУП ""СПб ИАЦ""";30
28;ОКИСЗН;100;12;{'id': 100, 'razdel': 2, 'faset': 9, 'kod': 100, 'name': 100, 'description': 0, 'doc_act': 1, 'date_act': 1, 'doc_deact': 0, 'date_deact': 0, 'status': 1, 'date': 1};{'id': 0, 'razdel': 0, 'faset': 0, 'kod': 0, 'name': 0, 'description': 0, 'doc_act': 100, 'date_act': 0, 'doc_deact': 0, 'date_deact': 0, 'status': 0, 'date': 0};{'id': 0.0, 'razdel': 0.0, 'faset': 0.0, 'kod': 0.0, 'name': 0.0, 'description': 1.0, 'doc_act': 0.0, 'date_act': 0.0, 'doc_deact': 1.0, 'date_deact': 1.0, 'status': 0.0, 'date': 0.0};{('id', 'count'): 100.0, ('id', 'mean'): 50.5, ('id', 'std'): 29.011491975882016, ('id', 'min'): 1.0, ('id', '50%'): 50.5, ('id', 'max'): 100.0, ('razdel', 'count'): 100.0, ('razdel', 'mean'): 1.42, ('razdel', 'std'): 0.4960449637488583, ('razdel', 'min'): 1.0, ('razdel', '50%'): 1.0, ('razdel', 'max'): 2.0, ('faset', 'count'): 100.0, ('faset', 'mean'): 6708.12, ('faset', 'std'): 18.395915225117147, ('faset', 'min'): 6687.0, ('faset', '50%'): 6701.0, ('faset', 'max'): 6729.0, ('doc_act', 'count'): 100.0, ('doc_act', 'mean'): 0.0, ('doc_act', 'std'): 0.0, ('doc_act', 'min'): 0.0, ('doc_act', '50%'): 0.0, ('doc_act', 'max'): 0.0};Нет;Нормативно-справочная информация;ЛОЖЬ;ИСТИНА;50;200;50;[{'name': 'Жукова Наталья Сергеевна', 'phone': '88124176153', 'email': 'info@classif.spb.ru'}];"СПб ГУП ""СПб ИАЦ""";30
